idHebergement,CAPACITE D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES
4,24,10
5,39,18
6,35,15
7,71,36
8,95,38
17,63,26
18,79,40
19,97,47
20,31,14
21,56,23
22,54,27
23,86,42
26,65,30
27,117,54
31,51,28
32,59,33
33,174,60
34,33,15
35,40,19
36,133,54
37,30,11
38,NULL,155
39,39,18
41,68,30
42,48,19
43,42,21
44,NULL,26
45,107,46
46,51,20
47,23,10
65,24,12
66,16,6
67,29,12
68,818,409
69,30,14
70,145,49
71,19,10
72,21,6
73,121,53
74,32,14
75,77,39
76,55,36
81,127,60
89,207,68
90,222,80
97,91,44
98,62,29
99,65,30
100,27,12
101,194,97
102,170,82
103,164,67
104,50,20
105,19,8
106,33,14
107,25,10
108,84,42
109,21,8
110,21,9
111,NULL,80
112,19,10
115,84,37
116,94,52
117,91,39
118,24,12
119,46,20
121,99,49
122,114,57
129,214,93
130,80,36
131,72,34
132,43,13
133,84,42
134,68,30
145,54,27
146,110,55
147,86,43
148,100,45
149,80,40
152,16,7
154,103,55
155,39,15
156,46,25
157,51,21
158,158,77
163,124,62
164,194,70
165,152,54
166,149,67
167,39,19
168,162,81
169,61,31
170,99,61
171,39,16
172,24,13
176,86,35
177,28,12
183,24,10
184,16,7
185,30,15
186,22,9
187,63,29
188,87,37
189,320,160
192,31,15
193,53,27
194,31,13
195,99,47
196,98,49
197,30,15
198,84,40
199,701,209
200,95,50
201,129,60
202,55,23
209,50,17
212,65,28
213,NULL,80
214,241,113
215,48,24
216,40,16
217,44,22
218,72,42
219,224,102
220,56,28
221,23,10
226,22,11
227,71,39
228,35,14
229,45,18
230,48,25
231,49,22
232,28,12
233,NULL,27
234,40,15
242,31,13
243,75,32
246,550,298
247,39,21
248,133,68
249,66,25
251,154,77
252,204,102
253,NULL,120
254,50,21
255,711,304
256,32,12
257,57,27
258,47,19
259,66,32
260,80,40
265,84,39
266,188,92
267,128,64
268,49,22
269,32,14
270,54,26
271,25,9
272,184,92
273,23,11
275,81,31
276,64,35
277,64,32
278,28,13
279,151,57
280,18,7
282,64,29
284,70,34
285,404,202
287,200,90
288,32,13
289,74,31
290,90,32
291,78,35
292,56,30
293,50,24
294,481,133
295,201,70
298,28,12
309,96,46
310,32,16
311,28,12
312,28,14
313,60,25
314,332,102
315,37,15
316,32,16
317,166,69
322,94,47
323,216,95
324,216,100
325,16,7
326,87,40
327,23,9
328,24,12
329,142,63
330,516,258
333,64,29
335,40,20
341,99,43
342,49,21
343,314,154
344,33,11
345,32,16
346,80,37
347,30,12
348,80,40
349,536,250
350,26,13
351,38,15
352,14,7
353,62,35
360,1577,757
361,452,186
362,34,17
363,56,28
364,91,45
365,85,42
366,34,12
367,245,79
381,222,75
383,56,28
384,35,16
385,25,11
386,53,22
388,54,25
389,32,15
390,50,30
391,426,213
398,91,42
400,100,40
401,77,36
402,44,19
403,148,51
404,173,63
405,NULL,38
406,240,120
407,189,60
408,30,17
413,60,26
416,60,23
422,98,48
423,116,49
424,177,18
425,163,74
426,96,44
427,12,6
428,115,56
429,86,39
435,NULL,123
436,20,9
437,117,53
438,31,12
439,25,11
440,403,180
441,40,25
442,39,19
444,100,48
445,48,21
456,84,42
457,60,28
458,34,17
464,70,39
465,22,10
466,226,112
467,30,13
469,26,11
471,61,27
472,36,16
473,28,11
474,39,18
475,24,11
476,181,87
477,99,59
478,32,14
479,164,90
480,13,6
481,261,118
490,40,25
491,200,80
492,44,22
493,104,57
494,265,140
497,28,12
502,268,134
503,266,106
504,83,35
505,49,27
509,19,9
510,116,53
511,140,70
512,170,28
513,57,29
514,40,20
515,44,22
516,70,27
517,129,62
520,NULL,29
521,30,15
522,71,35
523,65,26
524,88,42
525,45,25
527,161,77
531,73,39
532,107,51
533,12,6
534,57,23
535,64,32
536,NULL,172
537,460,115
539,116,58
540,54,26
541,34,13
542,495,56
543,NULL,685
544,18,9
545,25,10
546,10,5
547,52,29
548,56,28
557,36,15
558,50,20
559,15,7
560,68,29
561,16,6
562,120,60
563,NULL,54
564,91,34
565,123,60
566,55,22
567,30,13
568,30,15
569,89,62
577,148,60
578,160,60
579,90,48
580,NULL,52
582,179,72
583,108,48
584,76,33
585,93,44
586,110,55
587,86,40
588,79,42
589,29,15
590,42,18
591,58,22
592,165,72
598,16,8
601,32,16
602,26,13
603,42,18
604,50,25
605,57,21
606,37,17
607,118,58
609,30,14
610,102,51
611,19,9
612,74,37
620,85,36
621,220,69
622,359,134
623,16,7
625,258,129
626,32,16
627,60,30
628,63,37
631,112,56
635,23,10
636,18,8
639,84,41
640,54,27
643,55,24
644,26,10
645,80,39
650,35,15
651,341,100
652,114,48
654,34,14
655,66,32
656,44,21
657,35,16
658,42,19
659,108,53
660,56,33
663,50,25
664,56,25
665,87,33
666,106,50
667,45,19
668,NULL,65
669,99,54
670,59,30
671,104,48
672,234,117
677,59,29
678,58,36
679,42,24
680,166,83
681,24,12
682,57,27
685,59,31
686,44,21
687,24,12
696,42,27
697,100,43
698,94,39
699,30,12
700,27,13
701,NULL,102
702,NULL,186
703,35,17
704,181,70
705,82,42
706,70,28
707,NULL,172
708,19,10
709,52,23
710,50,22
711,26,12
712,40,20
713,34,17
715,106,53
723,66,26
724,19,10
725,31,11
726,54,24
727,177,66
728,263,119
729,28,14
730,14,7
731,67,28
732,23,8
733,89,47
734,40,18
735,80,40
736,201,71
737,250,125
738,104,53
739,25,12
740,16,8
741,30,13
742,56,22
743,36,18
744,205,85
745,21,11
747,125,59
748,44,22
749,20,9
754,21,7
755,NULL,123
762,9,9
763,20,9
764,46,28
765,71,34
766,26,10
777,21,10
778,118,54
779,53,26
780,606,303
783,97,41
784,359,120
785,32,13
786,156,71
787,49,19
796,39,15
797,140,70
798,198,80
799,140,68
801,87,45
805,70,36
806,68,34
812,40,14
813,90,42
814,38,16
815,32,16
816,70,32
817,100,44
818,47,24
819,32,14
820,103,49
823,150,82
824,422,114
825,272,107
828,62,25
829,202,97
830,43,18
831,183,89
832,32,12
842,14,6
843,46,17
844,230,97
845,100,46
846,48,24
851,26,14
852,322,161
853,22,11
854,188,70
856,50,24
857,114,57
858,16,8
859,35,15
860,50,23
861,35,15
862,36,15
863,27,12
869,63,33
870,40,15
871,20,10
872,17,7
873,102,48
874,54,24
878,30,14
879,25,9
880,40,20
881,114,41
882,42,17
883,189,63
884,290,141
885,165,62
890,80,41
891,66,28
892,19,8
893,37,17
894,113,49
895,151,64
896,65,31
897,137,55
898,38,17
899,32,16
901,58,30
902,68,28
903,320,194
906,72,32
907,142,70
908,120,60
909,150,71
910,NULL,163
913,200,19
921,160,76
924,111,45
925,35,17
926,78,35
928,250,125
929,328,174
930,68,30
931,116,57
932,111,55
933,56,16
934,18,7
935,57,25
936,43,18
937,40,19
938,77,38
942,63,23
943,39,19
944,48,20
945,89,40
946,61,27
947,90,38
948,25,11
954,48,19
955,92,46
956,60,20
958,24,12
959,196,92
960,11,6
964,68,36
965,34,18
966,50,32
967,28,9
968,22,9
969,46,27
970,19,8
971,99,48
972,84,40
973,46,19
974,92,41
975,30,14
978,70,25
980,44,18
981,34,17
982,312,172
983,80,35
984,31,14
985,210,70
986,293,128
987,50,22
988,34,13
989,90,45
997,NULL,20
998,96,41
1001,26,11
1002,97,44
1003,81,38
1004,18,8
1005,99,46
1006,30,15
1007,54,24
1008,174,87
1009,120,58
1010,86,41
1011,82,41
1012,46,23
1019,65,24
1022,28,13
1023,120,63
1024,70,30
1025,148,76
1026,46,20
1027,42,18
1028,106,49
1029,42,21
1039,54,22
1040,50,23
1041,113,56
1043,89,41
1044,22,9
1045,97,36
1046,32,16
1047,20,10
1048,159,76
1049,NULL,193
1050,569,149
1051,94,50
1052,32,14
1055,104,52
1056,70,34
1057,84,35
1058,28,14
1059,27,10
1060,55,23
1061,36,17
1062,140,64
1063,37,25
1064,43,29
1065,26,13
1066,40,19
1067,58,23
1068,52,19
1069,38,14
1073,35,15
1074,115,60
1078,16,8
1079,56,28
1084,160,60
1085,NULL,123
1086,177,83
1087,60,30
1088,300,101
1089,38,19
1090,47,24
1091,98,52
1092,37,16
1093,30,15
1094,64,23
1095,218,90
1096,97,43
1097,120,60
1098,NULL,69
1099,90,45
1100,116,54
1101,76,39
1102,146,58
1103,33,18
1111,123,65
1112,239,41
1113,35,12
1114,20,8
1115,50,23
1116,65,26
1125,42,23
1126,14,7
1127,61,30
1128,19,12
1129,64,34
1130,52,19
1131,220,110
1132,125,49
1133,124,67
1136,34,16
1137,64,26
1139,49,23
1140,218,94
1141,17,8
1142,115,55
1143,104,41
1144,68,29
1145,21,9
1148,59,26
1149,128,71
1150,26,13
1159,35,14
1160,32,14
1161,107,53
1162,88,41
1163,112,53
1164,NULL,44
1166,20,11
1167,75,30
1168,70,16
1169,140,65
1170,205,104
1171,66,31
1172,97,41
1179,87,39
1180,40,19
1181,42,16
1182,43,19
1183,NULL,19
1184,72,35
1185,35,13
1186,27,11
1187,86,40
1188,45,16
1189,96,48
1190,23,10
1191,38,18
1192,68,28
1193,174,87
1198,38,16
1199,60,35
1200,32,16
1201,96,46
1202,44,16
1203,70,30
1204,68,31
1205,174,83
1206,33,15
1207,68,32
1213,84,38
1214,23,9
1215,36,15
1216,80,38
1218,200,80
1219,32,16
1220,16,8
1233,90,45
1234,97,43
1235,122,50
1236,23,12
1237,201,67
1238,34,15
1239,170,85
1240,44,22
1241,160,80
1243,61,30
1244,91,53
1245,35,14
1256,73,40
1257,104,47
1258,20,10
1259,41,19
1260,66,30
1265,61,29
1267,128,42
1269,99,49
1270,70,25
1272,170,85
1273,104,52
1274,42,17
1275,186,91
1276,21,9
1277,12,5
1278,78,42
1279,110,46
1280,47,22
1281,95,47
1282,50,23
1283,20,9
1285,90,40
1286,318,165
1287,24,12
1296,88,44
1297,NULL,22
1298,90,45
1301,62,23
1302,47,23
1303,60,25
1304,18,9
1305,NULL,106
1306,83,44
1307,82,38
1314,98,44
1315,73,39
1316,106,42
1317,110,46
1322,450,236
1323,73,33
1324,125,56
1325,20,9
1326,18,8
1327,24,11
1330,98,49
1332,32,9
1333,61,26
1334,150,75
1335,NULL,29
1336,36,17
1337,41,19
1338,25,12
1339,16,5
1340,81,38
1341,15,8
1343,156,78
1344,60,28
1345,14,7
1346,38,17
1351,181,86
1352,166,78
1353,45,18
1354,20,9
1362,172,72
1363,42,21
1364,119,42
1365,72,36
1366,19,7
1367,26,12
1368,39,17
1369,158,70
1370,32,14
1371,87,33
1372,20,9
1373,298,149
1374,380,168
1375,48,24
1376,44,17
1377,248,101
1378,26,12
1390,44,21
1392,68,25
1393,55,22
1394,68,29
1395,30,12
1396,64,28
1397,60,30
1398,108,54
1399,90,44
1400,117,48
1401,29,12
1402,54,23
1403,34,16
1404,48,24
1405,NULL,110
1406,36,16
1407,NULL,28
1408,573,269
1409,25,11
1410,59,20
1411,438,186
1416,39,17
1417,39,13
1418,95,45
1426,147,69
1427,40,19
1428,18,8
1429,29,11
1430,50,20
1431,38,18
1432,156,65
1433,72,33
1434,38,14
1435,37,17
1444,50,25
1449,153,61
1450,108,53
1451,36,16
1452,35,17
1453,85,37
1454,26,13
1456,115,53
1457,40,15
1458,72,37
1459,136,64
1460,86,42
1465,55,24
1466,42,21
1469,31,15
1470,110,46
1471,20,9
1472,62,31
1473,44,20
1474,340,170
1476,33,16
1482,90,45
1483,45,20
1484,121,53
1485,17,7
1486,50,22
1487,49,22
1489,22,10
1490,44,24
1491,134,67
1492,251,118
1493,72,34
1494,150,75
1495,26,12
1496,47,20
1497,36,17
1498,41,18
1499,20,9
1500,20,14
1501,40,16
1502,16,8
1503,14,6
1504,24,12
1513,60,29
1514,64,31
1517,18,9
1518,90,34
1522,58,27
1524,21,8
1525,234,117
